2025-10-17 16:39:19,731 | CPiwigoManager | INFO | piwigo_get_categories:542 | Liste des catégories récupérée avec succès | Extra: {}
2025-10-17 16:39:19,731 | CPiwigoManager | INFO | piwigo_get_categories:542 | Liste des catégories récupérée avec succès | Extra: {}
2025-10-17 16:39:19,747 | CPiwigoManager | INFO | piwigo_login:275 | Tentative de connexion à Piwigo... | Extra: {}
2025-10-17 16:39:19,747 | CPiwigoManager | INFO | piwigo_login:275 | Tentative de connexion à Piwigo... | Extra: {}
2025-10-17 16:39:19,747 | CPiwigoManager | INFO | piwigo_login:275 | Tentative de connexion à Piwigo... | Extra: {}
2025-10-17 16:39:19,900 | CPiwigoManager | INFO | piwigo_login:279 | Connexion à Piwigo réussie | Extra: {}
2025-10-17 16:39:19,900 | CPiwigoManager | INFO | piwigo_login:279 | Connexion à Piwigo réussie | Extra: {}
2025-10-17 16:39:19,900 | CPiwigoManager | INFO | piwigo_login:279 | Connexion à Piwigo réussie | Extra: {}
2025-10-17 16:39:19,908 | CPiwigoManager | INFO | piwigo_create_category:576 | Création de la catégorie 'Galerie Galerie Paul Poiret' (type: CREATORS) | Extra: {}
2025-10-17 16:39:19,908 | CPiwigoManager | INFO | piwigo_create_category:576 | Création de la catégorie 'Galerie Galerie Paul Poiret' (type: CREATORS) | Extra: {}
2025-10-17 16:39:19,908 | CPiwigoManager | INFO | piwigo_create_category:576 | Création de la catégorie 'Galerie Galerie Paul Poiret' (type: CREATORS) | Extra: {}
2025-10-17 16:39:20,145 | CPiwigoManager | INFO | piwigo_create_category:587 | Catégorie 'Galerie Galerie Paul Poiret' créée avec l'ID 1978 | Extra: {}
2025-10-17 16:39:20,145 | CPiwigoManager | INFO | piwigo_create_category:587 | Catégorie 'Galerie Galerie Paul Poiret' créée avec l'ID 1978 | Extra: {}
2025-10-17 16:39:20,145 | CPiwigoManager | INFO | piwigo_create_category:587 | Catégorie 'Galerie Galerie Paul Poiret' créée avec l'ID 1978 | Extra: {}
2025-10-17 16:45:00,709 | CPiwigoManager | INFO | piwigo_login:275 | Tentative de connexion à Piwigo... | Extra: {}
2025-10-17 16:45:00,709 | CPiwigoManager | INFO | piwigo_login:275 | Tentative de connexion à Piwigo... | Extra: {}
2025-10-17 16:45:00,709 | CPiwigoManager | INFO | piwigo_login:275 | Tentative de connexion à Piwigo... | Extra: {}
2025-10-17 16:45:00,709 | CPiwigoManager | INFO | piwigo_login:275 | Tentative de connexion à Piwigo... | Extra: {}
2025-10-17 16:45:01,024 | CPiwigoManager | INFO | piwigo_login:279 | Connexion à Piwigo réussie | Extra: {}
2025-10-17 16:45:01,024 | CPiwigoManager | INFO | piwigo_login:279 | Connexion à Piwigo réussie | Extra: {}
2025-10-17 16:45:01,024 | CPiwigoManager | INFO | piwigo_login:279 | Connexion à Piwigo réussie | Extra: {}
2025-10-17 16:45:01,024 | CPiwigoManager | INFO | piwigo_login:279 | Connexion à Piwigo réussie | Extra: {}
2025-10-17 16:45:01,743 | CPiwigoManager | INFO | piwigo_open_session:304 | Session Piwigo ouverte, token obtenu: ea07e106a5... | Extra: {}
2025-10-17 16:45:01,743 | CPiwigoManager | INFO | piwigo_open_session:304 | Session Piwigo ouverte, token obtenu: ea07e106a5... | Extra: {}
2025-10-17 16:45:01,743 | CPiwigoManager | INFO | piwigo_open_session:304 | Session Piwigo ouverte, token obtenu: ea07e106a5... | Extra: {}
2025-10-17 16:45:01,743 | CPiwigoManager | INFO | piwigo_open_session:304 | Session Piwigo ouverte, token obtenu: ea07e106a5... | Extra: {}
2025-10-17 16:45:02,373 | CPiwigoManager | INFO | piwigo_get_categories:542 | Liste des catégories récupérée avec succès | Extra: {}
2025-10-17 16:45:02,373 | CPiwigoManager | INFO | piwigo_get_categories:542 | Liste des catégories récupérée avec succès | Extra: {}
2025-10-17 16:45:02,373 | CPiwigoManager | INFO | piwigo_get_categories:542 | Liste des catégories récupérée avec succès | Extra: {}
2025-10-17 16:45:02,373 | CPiwigoManager | INFO | piwigo_get_categories:542 | Liste des catégories récupérée avec succès | Extra: {}
2025-10-17 16:45:02,378 | CPiwigoManager | INFO | piwigo_login:275 | Tentative de connexion à Piwigo... | Extra: {}
2025-10-17 16:45:02,378 | CPiwigoManager | INFO | piwigo_login:275 | Tentative de connexion à Piwigo... | Extra: {}
2025-10-17 16:45:02,378 | CPiwigoManager | INFO | piwigo_login:275 | Tentative de connexion à Piwigo... | Extra: {}
2025-10-17 16:45:02,378 | CPiwigoManager | INFO | piwigo_login:275 | Tentative de connexion à Piwigo... | Extra: {}
2025-10-17 16:45:02,511 | CPiwigoManager | INFO | piwigo_login:279 | Connexion à Piwigo réussie | Extra: {}
2025-10-17 16:45:02,511 | CPiwigoManager | INFO | piwigo_login:279 | Connexion à Piwigo réussie | Extra: {}
2025-10-17 16:45:02,511 | CPiwigoManager | INFO | piwigo_login:279 | Connexion à Piwigo réussie | Extra: {}
2025-10-17 16:45:02,511 | CPiwigoManager | INFO | piwigo_login:279 | Connexion à Piwigo réussie | Extra: {}
2025-10-17 16:45:02,519 | CPiwigoManager | INFO | piwigo_create_category:576 | Création de la catégorie 'Galerie Galerie Niki de Saint Phalle' (type: CREATORS) | Extra: {}
2025-10-17 16:45:02,519 | CPiwigoManager | INFO | piwigo_create_category:576 | Création de la catégorie 'Galerie Galerie Niki de Saint Phalle' (type: CREATORS) | Extra: {}
2025-10-17 16:45:02,519 | CPiwigoManager | INFO | piwigo_create_category:576 | Création de la catégorie 'Galerie Galerie Niki de Saint Phalle' (type: CREATORS) | Extra: {}
2025-10-17 16:45:02,519 | CPiwigoManager | INFO | piwigo_create_category:576 | Création de la catégorie 'Galerie Galerie Niki de Saint Phalle' (type: CREATORS) | Extra: {}
2025-10-17 16:45:02,814 | CPiwigoManager | INFO | piwigo_create_category:587 | Catégorie 'Galerie Galerie Niki de Saint Phalle' créée avec l'ID 1979 | Extra: {}
2025-10-17 16:45:02,814 | CPiwigoManager | INFO | piwigo_create_category:587 | Catégorie 'Galerie Galerie Niki de Saint Phalle' créée avec l'ID 1979 | Extra: {}
2025-10-17 16:45:02,814 | CPiwigoManager | INFO | piwigo_create_category:587 | Catégorie 'Galerie Galerie Niki de Saint Phalle' créée avec l'ID 1979 | Extra: {}
2025-10-17 16:45:02,814 | CPiwigoManager | INFO | piwigo_create_category:587 | Catégorie 'Galerie Galerie Niki de Saint Phalle' créée avec l'ID 1979 | Extra: {}
2025-10-17 16:48:22,493 | CPiwigoManager | INFO | piwigo_login:275 | Tentative de connexion à Piwigo... | Extra: {}
2025-10-17 16:48:22,493 | CPiwigoManager | INFO | piwigo_login:275 | Tentative de connexion à Piwigo... | Extra: {}
2025-10-17 16:48:22,493 | CPiwigoManager | INFO | piwigo_login:275 | Tentative de connexion à Piwigo... | Extra: {}
2025-10-17 16:48:22,493 | CPiwigoManager | INFO | piwigo_login:275 | Tentative de connexion à Piwigo... | Extra: {}
2025-10-17 16:48:22,493 | CPiwigoManager | INFO | piwigo_login:275 | Tentative de connexion à Piwigo... | Extra: {}
2025-10-17 16:48:22,765 | CPiwigoManager | INFO | piwigo_login:279 | Connexion à Piwigo réussie | Extra: {}
2025-10-17 16:48:22,765 | CPiwigoManager | INFO | piwigo_login:279 | Connexion à Piwigo réussie | Extra: {}
