2025-09-30 12:36:24,521 | WikimediaAccess | INFO | api_operation_context:156 | Opération réussie: sparql_query (ID: 05e9d238, durée: 0.06s) | Extra: {}
2025-09-30 12:37:13,807 | WikimediaAccess | INFO | __init__:242 | Instance WikimediaAccess créée - ID: 24cbd0e1 | Extra: {}
2025-09-30 12:37:13,807 | WikimediaAccess | INFO | __init__:242 | Instance WikimediaAccess créée - ID: 24cbd0e1 | Extra: {}
2025-09-30 12:37:13,807 | WikimediaAccess | INFO | __init__:242 | Instance WikimediaAccess créée - ID: 24cbd0e1 | Extra: {}
2025-09-30 12:37:13,807 | WikimediaAccess | INFO | __init__:242 | Instance WikimediaAccess créée - ID: 24cbd0e1 | Extra: {}
2025-09-30 12:37:13,814 | WikimediaAccess | INFO | api_operation_context:150 | Début opération: WikimediaAccess.__init__ (ID: 6f1a123a) | Extra: {}
2025-09-30 12:37:13,814 | WikimediaAccess | INFO | api_operation_context:150 | Début opération: WikimediaAccess.__init__ (ID: 6f1a123a) | Extra: {}
2025-09-30 12:37:13,814 | WikimediaAccess | INFO | api_operation_context:150 | Début opération: WikimediaAccess.__init__ (ID: 6f1a123a) | Extra: {}
2025-09-30 12:37:13,814 | WikimediaAccess | INFO | api_operation_context:150 | Début opération: WikimediaAccess.__init__ (ID: 6f1a123a) | Extra: {}
2025-09-30 12:37:13,862 | WikimediaAccess | INFO | _initialize_scheduler:808 | Scheduler initialisé: 7091343372838473903 | Extra: {}
2025-09-30 12:37:13,862 | WikimediaAccess | INFO | _initialize_scheduler:808 | Scheduler initialisé: 7091343372838473903 | Extra: {}
2025-09-30 12:37:13,862 | WikimediaAccess | INFO | _initialize_scheduler:808 | Scheduler initialisé: 7091343372838473903 | Extra: {}
2025-09-30 12:37:13,862 | WikimediaAccess | INFO | _initialize_scheduler:808 | Scheduler initialisé: 7091343372838473903 | Extra: {}
2025-09-30 12:37:13,865 | WikimediaAccess | INFO | __init__:255 | WikimediaAccess initialisé pour QID: Q347139 | Extra: {}
2025-09-30 12:37:13,865 | WikimediaAccess | INFO | __init__:255 | WikimediaAccess initialisé pour QID: Q347139 | Extra: {}
2025-09-30 12:37:13,865 | WikimediaAccess | INFO | __init__:255 | WikimediaAccess initialisé pour QID: Q347139 | Extra: {}
2025-09-30 12:37:13,865 | WikimediaAccess | INFO | __init__:255 | WikimediaAccess initialisé pour QID: Q347139 | Extra: {}
2025-09-30 12:37:13,868 | WikimediaAccess | INFO | api_operation_context:156 | Opération réussie: WikimediaAccess.__init__ (ID: 6f1a123a, durée: 0.06s) | Extra: {}
2025-09-30 12:37:13,868 | WikimediaAccess | INFO | api_operation_context:156 | Opération réussie: WikimediaAccess.__init__ (ID: 6f1a123a, durée: 0.06s) | Extra: {}
2025-09-30 12:37:13,868 | WikimediaAccess | INFO | api_operation_context:156 | Opération réussie: WikimediaAccess.__init__ (ID: 6f1a123a, durée: 0.06s) | Extra: {}
2025-09-30 12:37:13,868 | WikimediaAccess | INFO | api_operation_context:156 | Opération réussie: WikimediaAccess.__init__ (ID: 6f1a123a, durée: 0.06s) | Extra: {}
2025-09-30 12:37:14,684 | WikimediaAccess | INFO | api_operation_context:150 | Début opération: sparql_query (ID: 2d62d95b) | Extra: {}
